comparison_rank,label,insect_name,train_support,train_precision,train_recall,train_f1_score,train_error_rate,val_support,val_precision,val_recall,val_f1_score,val_error_rate,test_support,test_precision,test_recall,test_f1_score,test_error_rate,train_val_f1_gap,train_val_recall_gap,train_test_f1_gap,val_test_f1_difference
1,63,Polyphagotars onemus latus,50,0.960000,0.960000,0.960000,0.040000,8,0.166667,0.125000,0.142857,0.875000,26,0.466667,0.269231,0.341463,0.730769,0.817143,0.835000,0.618537,-0.198606
2,85,Bactrocera tsuneonis,100,1.000000,0.930000,0.963731,0.070000,17,0.375000,0.176471,0.240000,0.823529,51,0.640000,0.313725,0.421053,0.686275,0.723731,0.753529,0.542678,-0.181053
3,35,cerodonta denticornis,82,0.975610,0.975610,0.975610,0.024390,13,0.333333,0.230769,0.272727,0.769231,42,0.542857,0.452381,0.493506,0.547619,0.702882,0.744841,0.482103,-0.220779
4,36,beet fly,62,0.950000,0.919355,0.934426,0.080645,10,0.285714,0.200000,0.235294,0.800000,32,0.615385,0.250000,0.355556,0.750000,0.699132,0.719355,0.578871,-0.120261
5,52,therioaphis maculata Buckton,156,0.980519,0.967949,0.974194,0.032051,26,0.388889,0.269231,0.318182,0.730769,78,0.274194,0.217949,0.242857,0.782051,0.656012,0.698718,0.731336,0.075325
6,19,large cutworm,294,0.923875,0.908163,0.915952,0.091837,49,0.281250,0.367347,0.318584,0.632653,148,0.285714,0.297297,0.291391,0.702703,0.597368,0.540816,0.624561,0.027193
7,57,Apolygus lucorum,228,0.986842,0.986842,0.986842,0.013158,38,0.424242,0.368421,0.394366,0.631579,115,0.412844,0.391304,0.401786,0.608696,0.592476,0.618421,0.585056,-0.007420
8,46,alfalfa plant bug,393,0.984655,0.979644,0.982143,0.020356,66,0.452830,0.363636,0.403361,0.636364,197,0.526316,0.406091,0.458453,0.593909,0.578782,0.616007,0.523690,-0.055091
9,97,Chlumetia transversa,183,0.973118,0.989071,0.981030,0.010929,30,0.393939,0.433333,0.412698,0.566667,92,0.569892,0.576087,0.572973,0.423913,0.568331,0.555738,0.408057,-0.160275
10,38,cabbage army worm,513,0.985972,0.959064,0.972332,0.040936,85,0.463768,0.376471,0.415584,0.623529,257,0.457143,0.435798,0.446215,0.564202,0.556748,0.582594,0.526117,-0.030631
11,54,Thrips,527,0.988439,0.973435,0.980880,0.026565,88,0.500000,0.375000,0.428571,0.625000,264,0.449541,0.371212,0.406639,0.628788,0.552308,0.598435,0.574241,0.021932
12,27,english grain aphid,392,0.928747,0.964286,0.946183,0.035714,65,0.460000,0.353846,0.400000,0.646154,197,0.382022,0.345178,0.362667,0.654822,0.546183,0.610440,0.583516,0.037333
13,45,flax budworm,639,0.993730,0.992175,0.992952,0.007825,107,0.537500,0.401869,0.459893,0.598131,320,0.469965,0.415625,0.441128,0.584375,0.533059,0.590306,0.551825,0.018765
14,29,bird cherry-oataphid,424,0.971014,0.948113,0.959427,0.051887,71,0.424658,0.436620,0.430556,0.563380,213,0.388393,0.408451,0.398169,0.591549,0.528872,0.511493,0.561258,0.032386
15,6,Rice Stemfly,221,0.977477,0.981900,0.979684,0.018100,37,0.392157,0.540541,0.454545,0.459459,111,0.601770,0.612613,0.607143,0.387387,0.525139,0.441360,0.372541,-0.152597
16,28,green bug,195,0.919786,0.882051,0.900524,0.117949,32,0.440000,0.343750,0.385965,0.656250,98,0.333333,0.244898,0.282353,0.755102,0.514559,0.538301,0.618171,0.103612
17,20,yellow cutworm,287,0.955056,0.888502,0.920578,0.111498,48,0.531250,0.354167,0.425000,0.645833,144,0.412698,0.361111,0.385185,0.638889,0.495578,0.534335,0.535392,0.039815
18,9,small brown plant hopper,331,0.939024,0.930514,0.934750,0.069486,56,0.479167,0.410714,0.442308,0.589286,166,0.452830,0.433735,0.443077,0.566265,0.492442,0.519799,0.491673,-0.000769
19,2,paddy stem maggot,156,0.953333,0.916667,0.934641,0.083333,26,0.406250,0.500000,0.448276,0.500000,79,0.441176,0.379747,0.408163,0.620253,0.486365,0.416667,0.526477,0.040113
20,55,alfalfa seed chalcid,111,1.000000,0.972973,0.986301,0.027027,18,0.500000,0.500000,0.500000,0.500000,56,0.482143,0.482143,0.482143,0.517857,0.486301,0.472973,0.504159,0.017857
21,81,Nipaecoccus vastalor,59,0.983051,0.983051,0.983051,0.016949,10,0.666667,0.400000,0.500000,0.600000,30,0.531250,0.566667,0.548387,0.433333,0.483051,0.583051,0.434664,-0.048387
22,7,brown plant hopper,500,0.948617,0.960000,0.954274,0.040000,83,0.487179,0.457831,0.472050,0.542169,251,0.553097,0.498008,0.524109,0.501992,0.482225,0.502169,0.430165,-0.052059
23,1,rice leaf caterpillar,292,0.982877,0.982877,0.982877,0.017123,48,0.547619,0.479167,0.511111,0.520833,147,0.532847,0.496599,0.514085,0.503401,0.471766,0.503710,0.468792,-0.002973
24,93,Dasineura sp,303,0.983766,1.000000,0.991817,0.000000,50,0.508772,0.580000,0.542056,0.420000,152,0.547619,0.605263,0.575000,0.394737,0.449761,0.420000,0.416817,-0.032944
25,21,red spider,317,0.981073,0.981073,0.981073,0.018927,53,0.538462,0.528302,0.533333,0.471698,159,0.705479,0.647799,0.675410,0.352201,0.447739,0.452771,0.305663,-0.142077
26,47,tarnished plant bug,492,0.995910,0.989837,0.992864,0.010163,82,0.602941,0.500000,0.546667,0.500000,246,0.610577,0.516260,0.559471,0.483740,0.446198,0.489837,0.433393,-0.012805
