confusion_rank,split,true_label,true_class,predicted_label,predicted_class,wrong_count,true_class_support,wrong_rate_of_true_class,share_of_true_class_errors,predicted_class_total,share_of_predicted_class
1,train,19,large cutworm,18,black cutworm,20,294,0.068027,0.740741,558,0.035842
2,train,8,white backed plant hopper,7,brown plant hopper,18,535,0.033645,0.529412,513,0.035088
3,train,17,white margined moth,18,black cutworm,17,88,0.193182,0.772727,558,0.030466
4,train,20,yellow cutworm,18,black cutworm,17,287,0.059233,0.485714,558,0.030466
5,train,20,yellow cutworm,19,large cutworm,15,287,0.052265,0.428571,294,0.051020
6,train,29,bird cherry-oataphid,27,english grain aphid,13,424,0.030660,0.590909,406,0.032020
7,train,8,white backed plant hopper,9,small brown plant hopper,13,535,0.024299,0.382353,327,0.039755
8,train,50,legume blister beetle,51,blister beetle,13,845,0.015385,0.928571,1142,0.011384
9,train,28,green bug,27,english grain aphid,12,195,0.061538,0.500000,406,0.029557
10,train,9,small brown plant hopper,7,brown plant hopper,12,331,0.036254,0.500000,513,0.023392
11,train,51,blister beetle,50,legume blister beetle,11,1138,0.009666,0.846154,843,0.013049
12,train,9,small brown plant hopper,8,white backed plant hopper,10,331,0.030211,0.416667,523,0.019120
13,train,7,brown plant hopper,8,white backed plant hopper,10,500,0.020000,0.555556,523,0.019120
14,train,31,penthaleus major,32,longlegged spider mite,8,139,0.057554,1.000000,149,0.053691
15,train,38,cabbage army worm,39,beet army worm,8,513,0.015595,0.400000,967,0.008273
16,train,54,Thrips,33,wheat phloeothrips,8,527,0.015180,0.571429,175,0.045714
17,train,85,Bactrocera tsuneonis,83,Tetradacus c Bactrocera minax,7,100,0.070000,0.875000,240,0.029167
18,train,13,rice shell pest,0,rice leaf roller,7,245,0.028571,0.875000,677,0.010340
19,train,4,yellow rice borer,3,asiatic rice borer,7,302,0.023179,0.636364,639,0.010955
20,train,18,black cutworm,19,large cutworm,7,512,0.013672,0.583333,294,0.023810
21,train,32,longlegged spider mite,31,penthaleus major,6,147,0.040816,0.857143,137,0.043796
22,train,28,green bug,29,bird cherry-oataphid,6,195,0.030769,0.250000,415,0.014458
23,train,19,large cutworm,20,yellow cutworm,6,294,0.020408,0.222222,263,0.022814
24,train,21,red spider,74,Panonchus citri McGregor,6,317,0.018927,1.000000,235,0.025532
25,train,27,english grain aphid,29,bird cherry-oataphid,6,392,0.015306,0.428571,415,0.014458
26,train,101,Cicadellidae,69,Cicadella viridis,6,3444,0.001742,0.666667,770,0.007792
27,train,2,paddy stem maggot,6,Rice Stemfly,5,156,0.032051,0.384615,222,0.022523
28,train,46,alfalfa plant bug,70,Miridae,5,393,0.012723,0.555556,3057,0.001636
29,train,38,cabbage army worm,86,Prodenia litura,5,513,0.009747,0.250000,792,0.006313
30,train,0,rice leaf roller,13,rice shell pest,5,669,0.007474,0.500000,242,0.020661
31,train,95,Salurnis marginella Guerr,94,Lawana imitata Melichar,4,292,0.013699,1.000000,348,0.011494
32,train,1,rice leaf caterpillar,0,rice leaf roller,4,292,0.013699,0.800000,677,0.005908
33,train,27,english grain aphid,28,green bug,4,392,0.010204,0.285714,185,0.021622
34,train,7,brown plant hopper,9,small brown plant hopper,4,500,0.008000,0.222222,327,0.012232
35,train,54,Thrips,92,Scirtothrips dorsalis Hood,4,527,0.007590,0.285714,489,0.008180
36,train,45,flax budworm,86,Prodenia litura,4,639,0.006260,0.571429,792,0.005051
37,train,69,Cicadella viridis,101,Cicadellidae,4,767,0.005215,1.000000,3444,0.001161
38,train,36,beet fly,40,Beet spot flies,3,62,0.048387,0.600000,185,0.016216
39,train,17,white margined moth,19,large cutworm,3,88,0.034091,0.136364,294,0.010204
40,train,2,paddy stem maggot,36,beet fly,3,156,0.019231,0.230769,60,0.050000
41,train,33,wheat phloeothrips,54,Thrips,3,175,0.017143,0.333333,519,0.005780
42,train,28,green bug,24,aphids,3,195,0.015385,0.125000,2462,0.001219
43,train,28,green bug,90,Toxoptera aurantii,3,195,0.015385,0.125000,137,0.021898
44,train,74,Panonchus citri McGregor,21,red spider,3,231,0.012987,1.000000,316,0.009494
