error_contribution_rank,split,label,insect_name,support,false_negative,error_rate,precision,recall,f1_score,top1_wrong_class,top1_wrong_count,top1_wrong_rate,error_share,cumulative_errors,cumulative_error_share
1,train,20,yellow cutworm,287,35,0.121951,0.958175,0.878049,0.916364,black cutworm,17,0.059233,0.061728,35,0.061728
2,train,8,white backed plant hopper,535,34,0.063551,0.957935,0.936449,0.947070,brown plant hopper,18,0.033645,0.059965,69,0.121693
3,train,19,large cutworm,294,27,0.091837,0.908163,0.908163,0.908163,black cutworm,20,0.068027,0.047619,96,0.169312
4,train,28,green bug,195,24,0.123077,0.924324,0.876923,0.900000,english grain aphid,12,0.061538,0.042328,120,0.211640
5,train,9,small brown plant hopper,331,24,0.072508,0.938838,0.927492,0.933131,brown plant hopper,12,0.036254,0.042328,144,0.253968
6,train,17,white margined moth,88,22,0.250000,0.942857,0.750000,0.835443,black cutworm,17,0.193182,0.038801,166,0.292769
7,train,29,bird cherry-oataphid,424,22,0.051887,0.968675,0.948113,0.958284,english grain aphid,13,0.030660,0.038801,188,0.331570
8,train,38,cabbage army worm,513,20,0.038986,0.986000,0.961014,0.973346,beet army worm,8,0.015595,0.035273,208,0.366843
9,train,7,brown plant hopper,500,18,0.036000,0.939571,0.964000,0.951629,white backed plant hopper,10,0.020000,0.031746,226,0.398589
10,train,27,english grain aphid,392,14,0.035714,0.931034,0.964286,0.947368,bird cherry-oataphid,6,0.015306,0.024691,240,0.423280
11,train,54,Thrips,527,14,0.026565,0.988439,0.973435,0.980880,wheat phloeothrips,8,0.015180,0.024691,254,0.447972
12,train,50,legume blister beetle,845,14,0.016568,0.985765,0.983432,0.984597,blister beetle,13,0.015385,0.024691,268,0.472663
13,train,2,paddy stem maggot,156,13,0.083333,0.953333,0.916667,0.934641,Rice Stemfly,5,0.032051,0.022928,281,0.495591
14,train,51,blister beetle,1138,13,0.011424,0.985114,0.988576,0.986842,legume blister beetle,11,0.009666,0.022928,294,0.518519
15,train,18,black cutworm,512,12,0.023438,0.896057,0.976562,0.934579,large cutworm,7,0.013672,0.021164,306,0.539683
16,train,4,yellow rice borer,302,11,0.036424,0.993174,0.963576,0.978151,asiatic rice borer,7,0.023179,0.019400,317,0.559083
17,train,0,rice leaf roller,669,10,0.014948,0.973412,0.985052,0.979198,rice shell pest,5,0.007474,0.017637,327,0.576720
18,train,33,wheat phloeothrips,175,9,0.051429,0.948571,0.948571,0.948571,Thrips,3,0.017143,0.015873,336,0.592593
19,train,46,alfalfa plant bug,393,9,0.022901,0.982097,0.977099,0.979592,Miridae,5,0.012723,0.015873,345,0.608466
20,train,101,Cicadellidae,3444,9,0.002613,0.997387,0.997387,0.997387,Cicadella viridis,6,0.001742,0.015873,354,0.624339
21,train,85,Bactrocera tsuneonis,100,8,0.080000,1.000000,0.920000,0.958333,Tetradacus c Bactrocera minax,7,0.070000,0.014109,362,0.638448
22,train,31,penthaleus major,139,8,0.057554,0.956204,0.942446,0.949275,longlegged spider mite,8,0.057554,0.014109,370,0.652557
23,train,13,rice shell pest,245,8,0.032653,0.979339,0.967347,0.973306,rice leaf roller,7,0.028571,0.014109,378,0.666667
24,train,5,rice gall midge,303,8,0.026403,1.000000,0.973597,0.986622,Dasineura sp,3,0.009901,0.014109,386,0.680776
25,train,23,army worm,642,8,0.012461,0.992175,0.987539,0.989852,Prodenia litura,3,0.004673,0.014109,394,0.694885
26,train,32,longlegged spider mite,147,7,0.047619,0.939597,0.952381,0.945946,penthaleus major,6,0.040816,0.012346,401,0.707231
27,train,3,asiatic rice borer,631,7,0.011094,0.976526,0.988906,0.982677,yellow rice borer,2,0.003170,0.012346,408,0.719577
28,train,45,flax budworm,639,7,0.010955,0.993711,0.989045,0.991373,Prodenia litura,4,0.006260,0.012346,415,0.731922
29,train,86,Prodenia litura,782,7,0.008951,0.978535,0.991049,0.984752,black cutworm,2,0.002558,0.012346,422,0.744268
30,train,21,red spider,317,6,0.018927,0.984177,0.981073,0.982622,Panonchus citri McGregor,6,0.018927,0.010582,428,0.754850
31,train,47,tarnished plant bug,492,6,0.012195,0.995902,0.987805,0.991837,alfalfa plant bug,3,0.006098,0.010582,434,0.765432
32,train,39,beet army worm,962,6,0.006237,0.988625,0.993763,0.991187,cabbage army worm,3,0.003119,0.010582,440,0.776014
33,train,24,aphids,2456,6,0.002443,0.995126,0.997557,0.996340,english grain aphid,2,0.000814,0.010582,446,0.786596
34,train,36,beet fly,62,5,0.080645,0.950000,0.919355,0.934426,Beet spot flies,3,0.048387,0.008818,451,0.795414
35,train,52,therioaphis maculata Buckton,156,5,0.032051,0.980519,0.967949,0.974194,green bug,1,0.006410,0.008818,456,0.804233
36,train,1,rice leaf caterpillar,292,5,0.017123,0.982877,0.982877,0.982877,rice leaf roller,4,0.013699,0.008818,461,0.813051
37,train,49,lytta polita,392,5,0.012755,0.992308,0.987245,0.989770,blister beetle,3,0.007653,0.008818,466,0.821869
38,train,91,Aphis citricola Vander Goot,210,4,0.019048,0.985646,0.980952,0.983294,green bug,2,0.009524,0.007055,470,0.828924
39,train,6,Rice Stemfly,221,4,0.018100,0.977477,0.981900,0.979684,paddy stem maggot,2,0.009050,0.007055,474,0.835979
40,train,57,Apolygus lucorum,228,4,0.017544,0.986784,0.982456,0.984615,alfalfa plant bug,2,0.008772,0.007055,478,0.843034
41,train,11,rice leafhopper,242,4,0.016529,0.987552,0.983471,0.985507,Cicadellidae,2,0.008264,0.007055,482,0.850088
42,train,95,Salurnis marginella Guerr,292,4,0.013699,0.989691,0.986301,0.987993,Lawana imitata Melichar,4,0.013699,0.007055,486,0.857143
43,train,99,Rhytidodera bowrinii white,333,4,0.012012,1.000000,0.987988,0.993958,Xylotrechus,2,0.006006,0.007055,490,0.864198
44,train,94,Lawana imitata Melichar,346,4,0.011561,0.982759,0.988439,0.985591,Salurnis marginella Guerr,3,0.008671,0.007055,494,0.871252
45,train,69,Cicadella viridis,767,4,0.005215,0.990909,0.994785,0.992843,Cicadellidae,4,0.005215,0.007055,498,0.878307
46,train,22,corn borer,1018,4,0.003929,0.993144,0.996071,0.994605,army worm,2,0.001965,0.007055,502,0.885362
47,train,61,Brevipoalpus lewisi McGregor,47,3,0.063830,1.000000,0.936170,0.967033,red spider,1,0.021277,0.005291,505,0.890653
48,train,98,Mango flat beak leafhopper,55,3,0.054545,0.981132,0.945455,0.962963,Cicadellidae,2,0.036364,0.005291,508,0.895944
49,train,53,odontothrips loti,106,3,0.028302,0.990385,0.971698,0.980952,wheat phloeothrips,1,0.009434,0.005291,511,0.901235
50,train,89,Toxoptera citricidus,113,3,0.026549,0.973451,0.973451,0.973451,Toxoptera aurantii,1,0.008850,0.005291,514,0.906526
51,train,90,Toxoptera aurantii,135,3,0.022222,0.963504,0.977778,0.970588,green bug,2,0.014815,0.005291,517,0.911817
52,train,74,Panonchus citri McGregor,231,3,0.012987,0.970213,0.987013,0.978541,red spider,3,0.012987,0.005291,520,0.917108
53,train,84,Dacus dorsalis(Hendel),263,3,0.011407,0.988593,0.988593,0.988593,Tetradacus c Bactrocera minax,3,0.011407,0.005291,523,0.922399
54,train,26,peach borer,414,3,0.007246,0.997573,0.992754,0.995157,rice leaf roller,1,0.002415,0.005291,526,0.927690
55,train,92,Scirtothrips dorsalis Hood,484,3,0.006198,0.983640,0.993802,0.988695,Thrips,2,0.004132,0.005291,529,0.932981
56,train,63,Polyphagotars onemus latus,50,2,0.040000,0.960000,0.960000,0.960000,Apolygus lucorum,1,0.020000,0.003527,531,0.936508
57,train,35,cerodonta denticornis,82,2,0.024390,0.975610,0.975610,0.975610,paddy stem maggot,2,0.024390,0.003527,533,0.940035
58,train,75,Phyllocoptes oleiverus ashmead,103,2,0.019417,0.980583,0.980583,0.980583,flea beetle,1,0.009709,0.003527,535,0.943563
59,train,60,Colomerus vitis,105,2,0.019048,0.990385,0.980952,0.985646,Polyphagotars onemus latus,1,0.009524,0.003527,537,0.947090
60,train,55,alfalfa seed chalcid,111,2,0.018018,1.000000,0.981982,0.990909,flax budworm,1,0.009009,0.003527,539,0.950617
61,train,43,sericaorient alismots chulsky,114,2,0.017544,1.000000,0.982456,0.991150,grub,2,0.017544,0.003527,541,0.954145
62,train,41,meadow moth,162,2,0.012346,1.000000,0.987654,0.993789,therioaphis maculata Buckton,1,0.006173,0.003527,543,0.957672
63,train,97,Chlumetia transversa,183,2,0.010929,0.973118,0.989071,0.981030,peach borer,1,0.005464,0.003527,545,0.961199
64,train,42,beet weevil,184,2,0.010870,1.000000,0.989130,0.994536,rice water weevil,2,0.010870,0.003527,547,0.964727
65,train,64,Pseudococcus comstocki Kuwana,184,2,0.010870,1.000000,0.989130,0.994536,Nipaecoccus vastalor,2,0.010870,0.003527,549,0.968254
66,train,59,Viteus vitifoliae,212,2,0.009434,1.000000,0.990566,0.995261,lytta polita,1,0.004717,0.003527,551,0.971781
67,train,83,Tetradacus c Bactrocera minax,232,2,0.008621,0.958333,0.991379,0.974576,Dacus dorsalis(Hendel),2,0.008621,0.003527,553,0.975309
68,train,77,Unaspis yanonensis,251,2,0.007968,0.996000,0.992032,0.994012,Chrysomphalus aonidum,2,0.007968,0.003527,555,0.978836
69,train,70,Miridae,3048,2,0.000656,0.996402,0.999344,0.997871,alfalfa plant bug,1,0.000328,0.003527,557,0.982363
70,train,67,Lycorma delicatula,3186,2,0.000628,0.999059,0.999372,0.999215,Cicadella viridis,1,0.000314,0.003527,559,0.985891
71,train,80,Parlatoria zizyphus Lucus,44,1,0.022727,1.000000,0.977273,0.988506,Unaspis yanonensis,1,0.022727,0.001764,560,0.987654
72,train,81,Nipaecoccus vastalor,59,1,0.016949,0.950820,0.983051,0.966667,Lawana imitata Melichar,1,0.016949,0.001764,561,0.989418
73,train,62,oides decempunctata,169,1,0.005917,1.000000,0.994083,0.997033,Trialeurodes vaporariorum,1,0.005917,0.001764,562,0.991182
74,train,40,Beet spot flies,179,1,0.005587,0.962162,0.994413,0.978022,paddy stem maggot,1,0.005587,0.001764,563,0.992945
75,train,25,Potosiabre vitarsis,339,1,0.002950,1.000000,0.997050,0.998523,grub,1,0.002950,0.001764,564,0.994709
76,train,76,Icerya purchasi Maskell,433,1,0.002309,1.000000,0.997691,0.998844,Nipaecoccus vastalor,1,0.002309,0.001764,565,0.996473
77,train,66,Ampelophaga,458,1,0.002183,1.000000,0.997817,0.998907,Prodenia litura,1,0.002183,0.001764,566,0.998236
78,train,58,Limacodidae,840,1,0.001190,1.000000,0.998810,0.999404,Cicadellidae,1,0.001190,0.001764,567,1.000000
79,train,15,mole cricket,989,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
80,train,48,Locustoidea,836,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
81,train,68,Xylotrechus,690,0,0.000000,0.997110,1.000000,0.998553,,0,0.000000,0.000000,567,1.000000
82,train,16,wireworm,532,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
83,train,14,grub,516,0,0.000000,0.994220,1.000000,0.997101,,0,0.000000,0.000000,567,1.000000
84,train,10,rice water weevil,513,0,0.000000,0.992263,1.000000,0.996117,,0,0.000000,0.000000,567,1.000000
85,train,37,flea beetle,473,0,0.000000,0.997890,1.000000,0.998944,,0,0.000000,0.000000,567,1.000000
86,train,71,Trialeurodes vaporariorum,415,0,0.000000,0.990453,1.000000,0.995204,,0,0.000000,0.000000,567,1.000000
87,train,82,Aleurocanthus spiniferus,414,0,0.000000,0.997590,1.000000,0.998794,,0,0.000000,0.000000,567,1.000000
88,train,44,alfalfa weevil,314,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
89,train,93,Dasineura sp,303,0,0.000000,0.983766,1.000000,0.991817,,0,0.000000,0.000000,567,1.000000
90,train,30,wheat blossom midge,291,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
91,train,56,Pieris canidia,281,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
