mutual_confusion_rank,split,class_a_label,class_a,class_a_support,class_b_label,class_b,class_b_support,a_to_b_count,a_to_b_rate,b_to_a_count,b_to_a_rate,combined_wrong_count,combined_confusion_rate,combined_support
1,train,18,black cutworm,512,19,large cutworm,294,6,0.011719,20,0.068027,26,0.032258,806
2,train,7,brown plant hopper,500,8,white backed plant hopper,535,10,0.020000,15,0.028037,25,0.024155,1035
3,train,8,white backed plant hopper,535,9,small brown plant hopper,331,12,0.022430,10,0.030211,22,0.025404,866
4,train,50,legume blister beetle,845,51,blister beetle,1138,11,0.013018,11,0.009666,22,0.011094,1983
5,train,27,english grain aphid,392,29,bird cherry-oataphid,424,6,0.015306,14,0.033019,20,0.024510,816
6,train,17,white margined moth,88,18,black cutworm,512,17,0.193182,2,0.003906,19,0.031667,600
7,train,19,large cutworm,294,20,yellow cutworm,287,6,0.020408,12,0.041812,18,0.030981,581
8,train,18,black cutworm,512,20,yellow cutworm,287,2,0.003906,16,0.055749,18,0.022528,799
9,train,27,english grain aphid,392,28,green bug,195,5,0.012755,12,0.061538,17,0.028961,587
10,train,7,brown plant hopper,500,9,small brown plant hopper,331,6,0.012000,10,0.030211,16,0.019254,831
11,train,31,penthaleus major,139,32,longlegged spider mite,147,8,0.057554,6,0.040816,14,0.048951,286
12,train,0,rice leaf roller,669,13,rice shell pest,245,5,0.007474,7,0.028571,12,0.013129,914
13,train,38,cabbage army worm,513,39,beet army worm,962,9,0.017544,3,0.003119,12,0.008136,1475
14,train,33,wheat phloeothrips,175,54,Thrips,527,3,0.017143,8,0.015180,11,0.015670,702
15,train,3,asiatic rice borer,631,4,yellow rice borer,302,2,0.003170,8,0.026490,10,0.010718,933
16,train,21,red spider,317,74,Panonchus citri McGregor,231,6,0.018927,3,0.012987,9,0.016423,548
17,train,69,Cicadella viridis,767,101,Cicadellidae,3444,3,0.003911,6,0.001742,9,0.002137,4211
18,train,28,green bug,195,29,bird cherry-oataphid,424,5,0.025641,3,0.007075,8,0.012924,619
19,train,2,paddy stem maggot,156,6,Rice Stemfly,221,5,0.032051,2,0.009050,7,0.018568,377
20,train,94,Lawana imitata Melichar,346,95,Salurnis marginella Guerr,292,3,0.008671,4,0.013699,7,0.010972,638
21,train,0,rice leaf roller,669,1,rice leaf caterpillar,292,2,0.002990,4,0.013699,6,0.006243,961
22,train,54,Thrips,527,92,Scirtothrips dorsalis Hood,484,4,0.007590,2,0.004132,6,0.005935,1011
23,train,28,green bug,195,90,Toxoptera aurantii,135,3,0.015385,2,0.014815,5,0.015152,330
24,train,17,white margined moth,88,20,yellow cutworm,287,3,0.034091,2,0.006969,5,0.013333,375
25,train,83,Tetradacus c Bactrocera minax,232,84,Dacus dorsalis(Hendel),263,2,0.008621,3,0.011407,5,0.010101,495
26,train,24,aphids,2456,28,green bug,195,2,0.000814,3,0.015385,5,0.001886,2651
27,train,46,alfalfa plant bug,393,70,Miridae,3048,4,0.010178,1,0.000328,5,0.001453,3441
28,train,2,paddy stem maggot,156,36,beet fly,62,3,0.019231,1,0.016129,4,0.018349,218
29,train,46,alfalfa plant bug,393,47,tarnished plant bug,492,2,0.005089,2,0.004065,4,0.004520,885
30,train,45,flax budworm,639,86,Prodenia litura,782,3,0.004695,1,0.001279,4,0.002815,1421
31,train,22,corn borer,1018,23,army worm,642,2,0.001965,2,0.003115,4,0.002410,1660
32,train,24,aphids,2456,27,english grain aphid,392,2,0.000814,2,0.005102,4,0.001404,2848
33,train,2,paddy stem maggot,156,35,cerodonta denticornis,82,1,0.006410,2,0.024390,3,0.012605,238
34,train,46,alfalfa plant bug,393,57,Apolygus lucorum,228,1,0.002545,2,0.008772,3,0.004831,621
35,train,20,yellow cutworm,287,38,cabbage army worm,513,2,0.006969,1,0.001949,3,0.003750,800
36,train,3,asiatic rice borer,631,22,corn borer,1018,2,0.003170,1,0.000982,3,0.001819,1649
37,train,39,beet army worm,962,86,Prodenia litura,782,2,0.002079,1,0.001279,3,0.001720,1744
38,train,24,aphids,2456,29,bird cherry-oataphid,424,1,0.000407,2,0.004717,3,0.001042,2880
39,train,98,Mango flat beak leafhopper,55,101,Cicadellidae,3444,2,0.036364,1,0.000290,3,0.000857,3499
40,train,11,rice leafhopper,242,101,Cicadellidae,3444,2,0.008264,1,0.000290,3,0.000814,3686
41,train,33,wheat phloeothrips,175,53,odontothrips loti,106,1,0.005714,1,0.009434,2,0.007117,281
42,train,2,paddy stem maggot,156,40,Beet spot flies,179,1,0.006410,1,0.005587,2,0.005970,335
43,train,90,Toxoptera aurantii,135,91,Aphis citricola Vander Goot,210,1,0.007407,1,0.004762,2,0.005797,345
44,train,76,Icerya purchasi Maskell,433,77,Unaspis yanonensis,251,1,0.002309,1,0.003984,2,0.002924,684
45,train,7,brown plant hopper,500,11,rice leafhopper,242,1,0.002000,1,0.004132,2,0.002695,742
46,train,23,army worm,642,38,cabbage army worm,513,1,0.001558,1,0.001949,2,0.001732,1155
47,train,18,black cutworm,512,86,Prodenia litura,782,1,0.001953,1,0.001279,2,0.001546,1294
48,train,0,rice leaf roller,669,3,asiatic rice borer,631,1,0.001495,1,0.001585,2,0.001538,1300
49,train,57,Apolygus lucorum,228,70,Miridae,3048,1,0.004386,1,0.000328,2,0.000611,3276
50,train,67,Lycorma delicatula,3186,94,Lawana imitata Melichar,346,1,0.000314,1,0.002890,2,0.000566,3532
