comparison_rank,label,insect_name,train_support,train_precision,train_recall,train_f1_score,train_error_rate,val_support,val_precision,val_recall,val_f1_score,val_error_rate,test_support,test_precision,test_recall,test_f1_score,test_error_rate,train_val_f1_gap,train_val_recall_gap,train_test_f1_gap,val_test_f1_difference
1,63,Polyphagotars onemus latus,50,1.000000,0.880000,0.936170,0.120000,8,0.000000,0.000000,0.000000,1.000000,26,0.666667,0.230769,0.342857,0.769231,0.936170,0.880000,0.593313,-0.342857
2,52,therioaphis maculata Buckton,156,0.981132,1.000000,0.990476,0.000000,26,0.363636,0.153846,0.216216,0.846154,78,0.272727,0.192308,0.225564,0.807692,0.774260,0.846154,0.764912,-0.009348
3,27,english grain aphid,392,0.970297,1.000000,0.984925,0.000000,65,0.396552,0.353846,0.373984,0.646154,197,0.419162,0.355330,0.384615,0.644670,0.610941,0.646154,0.600309,-0.010632
4,81,Nipaecoccus vastalor,59,1.000000,0.711864,0.831683,0.288136,10,0.285714,0.200000,0.235294,0.800000,30,0.461538,0.400000,0.428571,0.600000,0.596389,0.511864,0.403112,-0.193277
5,19,large cutworm,294,0.960656,0.996599,0.978297,0.003401,49,0.400000,0.367347,0.382979,0.632653,148,0.330935,0.310811,0.320557,0.689189,0.595318,0.629252,0.657740,0.062421
6,28,green bug,195,0.942029,1.000000,0.970149,0.000000,32,0.440000,0.343750,0.385965,0.656250,98,0.309278,0.306122,0.307692,0.693878,0.584184,0.656250,0.662457,0.078273
7,54,Thrips,527,0.917976,0.998102,0.956364,0.001898,88,0.383721,0.375000,0.379310,0.625000,264,0.411972,0.443182,0.427007,0.556818,0.577053,0.623102,0.529356,-0.047697
8,29,bird cherry-oataphid,424,0.938053,1.000000,0.968037,0.000000,71,0.382716,0.436620,0.407895,0.563380,213,0.383333,0.431925,0.406181,0.568075,0.560142,0.563380,0.561856,0.001714
9,57,Apolygus lucorum,228,0.991304,1.000000,0.995633,0.000000,38,0.560000,0.368421,0.444444,0.631579,115,0.566265,0.408696,0.474747,0.591304,0.551189,0.631579,0.520886,-0.030303
10,45,flax budworm,639,0.996880,1.000000,0.998437,0.000000,107,0.494505,0.420561,0.454545,0.579439,320,0.496032,0.390625,0.437063,0.609375,0.543892,0.579439,0.561375,0.017483
11,20,yellow cutworm,287,0.937705,0.996516,0.966216,0.003484,48,0.444444,0.416667,0.430108,0.583333,144,0.429630,0.402778,0.415771,0.597222,0.536109,0.579849,0.550446,0.014337
12,7,brown plant hopper,500,0.995992,0.994000,0.994995,0.006000,83,0.486842,0.445783,0.465409,0.554217,251,0.572687,0.517928,0.543933,0.482072,0.529586,0.548217,0.451062,-0.078524
13,46,alfalfa plant bug,393,1.000000,0.997455,0.998726,0.002545,66,0.508772,0.439394,0.471545,0.560606,197,0.527950,0.431472,0.474860,0.568528,0.527181,0.558062,0.523866,-0.003316
14,85,Bactrocera tsuneonis,100,1.000000,0.460000,0.630137,0.540000,17,1.000000,0.058824,0.111111,0.941176,51,0.555556,0.098039,0.166667,0.901961,0.519026,0.401176,0.463470,-0.055556
15,8,white backed plant hopper,535,0.990741,1.000000,0.995349,0.000000,90,0.451923,0.522222,0.484536,0.477778,268,0.533569,0.563433,0.548094,0.436567,0.510813,0.477778,0.447254,-0.063558
16,9,small brown plant hopper,331,0.990991,0.996979,0.993976,0.003021,56,0.543478,0.446429,0.490196,0.553571,166,0.521739,0.506024,0.513761,0.493976,0.503780,0.550550,0.480214,-0.023565
17,38,cabbage army worm,513,0.990347,1.000000,0.995150,0.000000,85,0.500000,0.505882,0.502924,0.494118,257,0.425856,0.435798,0.430769,0.564202,0.492226,0.494118,0.564381,0.072155
18,97,Chlumetia transversa,183,0.994565,1.000000,0.997275,0.000000,30,0.576923,0.500000,0.535714,0.500000,92,0.613636,0.586957,0.600000,0.413043,0.461561,0.500000,0.397275,-0.064286
19,36,beet fly,62,1.000000,0.532258,0.694737,0.467742,10,0.333333,0.200000,0.250000,0.800000,32,0.625000,0.156250,0.250000,0.843750,0.444737,0.332258,0.444737,0.000000
20,1,rice leaf caterpillar,292,0.989831,1.000000,0.994889,0.000000,48,0.615385,0.500000,0.551724,0.500000,147,0.548148,0.503401,0.524823,0.496599,0.443165,0.500000,0.470067,0.026901
21,35,cerodonta denticornis,82,1.000000,0.548780,0.708661,0.451220,13,1.000000,0.153846,0.266667,0.846154,42,0.647059,0.261905,0.372881,0.738095,0.441995,0.394934,0.335780,-0.106215
22,39,beet army worm,962,0.994829,1.000000,0.997408,0.000000,160,0.528090,0.587500,0.556213,0.412500,482,0.567515,0.601660,0.584089,0.398340,0.441195,0.412500,0.413319,-0.027876
23,13,rice shell pest,245,0.995935,1.000000,0.997963,0.000000,41,0.533333,0.585366,0.558140,0.414634,123,0.495327,0.430894,0.460870,0.569106,0.439824,0.414634,0.537094,0.097270
24,47,tarnished plant bug,492,1.000000,1.000000,1.000000,0.000000,82,0.626866,0.512195,0.563758,0.487805,246,0.642857,0.512195,0.570136,0.487805,0.436242,0.487805,0.429864,-0.006377
25,18,black cutworm,512,0.939450,1.000000,0.968780,0.000000,85,0.495327,0.623529,0.552083,0.376471,257,0.576923,0.642023,0.607735,0.357977,0.416696,0.376471,0.361045,-0.055651
26,49,lytta polita,392,1.000000,1.000000,1.000000,0.000000,65,0.631579,0.553846,0.590164,0.446154,197,0.627119,0.563452,0.593583,0.436548,0.409836,0.446154,0.406417,-0.003419
27,93,Dasineura sp,303,0.993443,1.000000,0.996711,0.000000,50,0.588235,0.600000,0.594059,0.400000,152,0.560241,0.611842,0.584906,0.388158,0.402651,0.400000,0.411805,0.009154
28,60,Colomerus vitis,105,1.000000,0.561905,0.719512,0.438095,18,0.666667,0.222222,0.333333,0.777778,53,0.750000,0.452830,0.564706,0.547170,0.386179,0.339683,0.154806,-0.231373
29,2,paddy stem maggot,156,0.861878,1.000000,0.925816,0.000000,26,0.517241,0.576923,0.545455,0.423077,79,0.562500,0.455696,0.503497,0.544304,0.380361,0.423077,0.422320,0.041958
30,91,Aphis citricola Vander Goot,210,0.905172,1.000000,0.950226,0.000000,35,0.588235,0.571429,0.579710,0.428571,106,0.613445,0.688679,0.648889,0.311321,0.370516,0.428571,0.301337,-0.069179
31,6,Rice Stemfly,221,0.924686,1.000000,0.960870,0.000000,37,0.545455,0.648649,0.592593,0.351351,111,0.620968,0.693694,0.655319,0.306306,0.368277,0.351351,0.305550,-0.062727
32,51,blister beetle,1138,0.991289,1.000000,0.995626,0.000000,189,0.634409,0.624339,0.629333,0.375661,570,0.699816,0.666667,0.682839,0.333333,0.366292,0.375661,0.312786,-0.053506
33,42,beet weevil,184,0.924623,1.000000,0.960836,0.000000,31,0.511628,0.709677,0.594595,0.290323,93,0.625000,0.645161,0.634921,0.354839,0.366241,0.290323,0.325915,-0.040326
