confusion_rank,split,true_label,true_class,predicted_label,predicted_class,wrong_count,true_class_support,wrong_rate_of_true_class,share_of_true_class_errors,predicted_class_total,share_of_predicted_class
1,train,85,Bactrocera tsuneonis,83,Tetradacus c Bactrocera minax,42,100,0.420000,0.777778,274,0.153285
2,train,89,Toxoptera citricidus,24,aphids,41,113,0.362832,0.672131,2539,0.016148
3,train,32,longlegged spider mite,21,red spider,37,147,0.251701,0.420455,359,0.103064
4,train,17,white margined moth,18,black cutworm,33,88,0.375000,0.428571,545,0.060550
5,train,90,Toxoptera aurantii,24,aphids,29,135,0.214815,0.371795,2539,0.011422
6,train,60,Colomerus vitis,59,Viteus vitifoliae,26,105,0.247619,0.565217,239,0.108787
7,train,32,longlegged spider mite,74,Panonchus citri McGregor,25,147,0.170068,0.284091,266,0.093985
8,train,12,grain spreader thrips,33,wheat phloeothrips,22,103,0.213592,0.372881,210,0.104762
9,train,12,grain spreader thrips,54,Thrips,22,103,0.213592,0.372881,573,0.038394
10,train,17,white margined moth,20,yellow cutworm,19,88,0.215909,0.246753,305,0.062295
11,train,90,Toxoptera aurantii,91,Aphis citricola Vander Goot,18,135,0.133333,0.230769,232,0.077586
12,train,35,cerodonta denticornis,6,Rice Stemfly,17,82,0.207317,0.459459,239,0.071130
13,train,98,Mango flat beak leafhopper,101,Cicadellidae,16,55,0.290909,0.888889,3471,0.004610
14,train,35,cerodonta denticornis,2,paddy stem maggot,15,82,0.182927,0.405405,181,0.082873
15,train,53,odontothrips loti,54,Thrips,15,106,0.141509,0.394737,573,0.026178
16,train,96,Deporaus marginatus Pascoe,42,beet weevil,15,126,0.119048,0.348837,199,0.075377
17,train,90,Toxoptera aurantii,29,bird cherry-oataphid,15,135,0.111111,0.192308,452,0.033186
18,train,36,beet fly,40,Beet spot flies,14,62,0.225806,0.482759,199,0.070352
19,train,72,Erythroneura apicalis,101,Cicadellidae,13,42,0.309524,1.000000,3471,0.003745
20,train,85,Bactrocera tsuneonis,84,Dacus dorsalis(Hendel),12,100,0.120000,0.222222,278,0.043165
21,train,53,odontothrips loti,33,wheat phloeothrips,12,106,0.113208,0.315789,210,0.057143
22,train,79,Chrysomphalus aonidum,77,Unaspis yanonensis,12,135,0.088889,0.545455,266,0.045113
23,train,17,white margined moth,19,large cutworm,11,88,0.125000,0.142857,305,0.036066
24,train,53,odontothrips loti,92,Scirtothrips dorsalis Hood,11,106,0.103774,0.289474,509,0.021611
25,train,96,Deporaus marginatus Pascoe,100,Sternochetus frigidus,11,126,0.087302,0.255814,285,0.038596
26,train,81,Nipaecoccus vastalor,64,Pseudococcus comstocki Kuwana,10,59,0.169492,0.588235,194,0.051546
27,train,36,beet fly,2,paddy stem maggot,10,62,0.161290,0.344828,181,0.055249
