difficulty_rank,split,label,insect_name,support,true_positive,false_negative,predicted_total,false_positive,precision,recall,f1_score,error_rate,top1_wrong_label,top1_wrong_class,top1_wrong_count,top1_wrong_rate,top1_share_of_class_errors,top2_wrong_label,top2_wrong_class,top2_wrong_count,top2_wrong_rate,top2_share_of_class_errors,top3_wrong_label,top3_wrong_class,top3_wrong_count,top3_wrong_rate,top3_share_of_class_errors,top4_wrong_label,top4_wrong_class,top4_wrong_count,top4_wrong_rate,top4_share_of_class_errors,top5_wrong_label,top5_wrong_class,top5_wrong_count,top5_wrong_rate,top5_share_of_class_errors
1,train,17,white margined moth,88,11,77,11,0,1.000000,0.125000,0.222222,0.875000,18,black cutworm,33,0.375000,0.428571,20,yellow cutworm,19,0.215909,0.246753,19,large cutworm,11,0.125000,0.142857,86,Prodenia litura,6,0.068182,0.077922,14,grub,3,0.034091,0.038961
2,train,32,longlegged spider mite,147,59,88,61,2,0.967213,0.401361,0.567308,0.598639,21,red spider,37,0.251701,0.420455,74,Panonchus citri McGregor,25,0.170068,0.284091,8,white backed plant hopper,4,0.027211,0.045455,27,english grain aphid,4,0.027211,0.045455,24,aphids,3,0.020408,0.034091
3,train,90,Toxoptera aurantii,135,57,78,58,1,0.982759,0.422222,0.590674,0.577778,24,aphids,29,0.214815,0.371795,91,Aphis citricola Vander Goot,18,0.133333,0.230769,29,bird cherry-oataphid,15,0.111111,0.192308,28,green bug,9,0.066667,0.115385,27,english grain aphid,5,0.037037,0.064103
4,train,12,grain spreader thrips,103,44,59,44,0,1.000000,0.427184,0.598639,0.572816,33,wheat phloeothrips,22,0.213592,0.372881,54,Thrips,22,0.213592,0.372881,92,Scirtothrips dorsalis Hood,10,0.097087,0.169492,0,rice leaf roller,3,0.029126,0.050847,3,asiatic rice borer,1,0.009709,0.016949
5,train,85,Bactrocera tsuneonis,100,46,54,46,0,1.000000,0.460000,0.630137,0.540000,83,Tetradacus c Bactrocera minax,42,0.420000,0.777778,84,Dacus dorsalis(Hendel),12,0.120000,0.222222,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
6,train,89,Toxoptera citricidus,113,52,61,52,0,1.000000,0.460177,0.630303,0.539823,24,aphids,41,0.362832,0.672131,29,bird cherry-oataphid,9,0.079646,0.147541,91,Aphis citricola Vander Goot,3,0.026549,0.049180,15,mole cricket,1,0.008850,0.016393,27,english grain aphid,1,0.008850,0.016393
7,train,36,beet fly,62,33,29,33,0,1.000000,0.532258,0.694737,0.467742,40,Beet spot flies,14,0.225806,0.482759,2,paddy stem maggot,10,0.161290,0.344828,84,Dacus dorsalis(Hendel),3,0.048387,0.103448,22,corn borer,1,0.016129,0.034483,39,beet army worm,1,0.016129,0.034483
8,train,35,cerodonta denticornis,82,45,37,45,0,1.000000,0.548780,0.708661,0.451220,6,Rice Stemfly,17,0.207317,0.459459,2,paddy stem maggot,15,0.182927,0.405405,40,Beet spot flies,4,0.048780,0.108108,5,rice gall midge,1,0.012195,0.027027,,,0,0.000000,0.000000
9,train,60,Colomerus vitis,105,59,46,59,0,1.000000,0.561905,0.719512,0.438095,59,Viteus vitifoliae,26,0.247619,0.565217,54,Thrips,8,0.076190,0.173913,67,Lycorma delicatula,2,0.019048,0.043478,70,Miridae,2,0.019048,0.043478,24,aphids,1,0.009524,0.021739
10,train,53,odontothrips loti,106,68,38,68,0,1.000000,0.641509,0.781609,0.358491,54,Thrips,15,0.141509,0.394737,33,wheat phloeothrips,12,0.113208,0.315789,92,Scirtothrips dorsalis Hood,11,0.103774,0.289474,,,0,0.000000,0.000000,,,0,0.000000,0.000000
