error_contribution_rank,split,label,insect_name,support,false_negative,error_rate,precision,recall,f1_score,top1_wrong_class,top1_wrong_count,top1_wrong_rate,error_share,cumulative_errors,cumulative_error_share
1,train,32,longlegged spider mite,147,88,0.598639,0.967213,0.401361,0.567308,red spider,37,0.251701,0.108642,88,0.108642
2,train,90,Toxoptera aurantii,135,78,0.577778,0.982759,0.422222,0.590674,aphids,29,0.214815,0.096296,166,0.204938
3,train,17,white margined moth,88,77,0.875000,1.000000,0.125000,0.222222,black cutworm,33,0.375000,0.095062,243,0.300000
4,train,89,Toxoptera citricidus,113,61,0.539823,1.000000,0.460177,0.630303,aphids,41,0.362832,0.075309,304,0.375309
5,train,12,grain spreader thrips,103,59,0.572816,1.000000,0.427184,0.598639,wheat phloeothrips,22,0.213592,0.072840,363,0.448148
6,train,85,Bactrocera tsuneonis,100,54,0.540000,1.000000,0.460000,0.630137,Tetradacus c Bactrocera minax,42,0.420000,0.066667,417,0.514815
7,train,60,Colomerus vitis,105,46,0.438095,1.000000,0.561905,0.719512,Viteus vitifoliae,26,0.247619,0.056790,463,0.571605
8,train,96,Deporaus marginatus Pascoe,126,43,0.341270,1.000000,0.658730,0.794258,beet weevil,15,0.119048,0.053086,506,0.624691
9,train,53,odontothrips loti,106,38,0.358491,1.000000,0.641509,0.781609,Thrips,15,0.141509,0.046914,544,0.671605
10,train,35,cerodonta denticornis,82,37,0.451220,1.000000,0.548780,0.708661,Rice Stemfly,17,0.207317,0.045679,581,0.717284
11,train,55,alfalfa seed chalcid,111,30,0.270270,1.000000,0.729730,0.843750,Miridae,6,0.054054,0.037037,611,0.754321
12,train,36,beet fly,62,29,0.467742,1.000000,0.532258,0.694737,Beet spot flies,14,0.225806,0.035802,640,0.790123
13,train,31,penthaleus major,139,28,0.201439,0.991071,0.798561,0.884462,Panonchus citri McGregor,7,0.050360,0.034568,668,0.824691
14,train,43,sericaorient alismots chulsky,114,27,0.236842,1.000000,0.763158,0.865672,Potosiabre vitarsis,8,0.070175,0.033333,695,0.858025
15,train,79,Chrysomphalus aonidum,135,22,0.162963,1.000000,0.837037,0.911290,Unaspis yanonensis,12,0.088889,0.027160,717,0.885185
16,train,98,Mango flat beak leafhopper,55,18,0.327273,0.973684,0.672727,0.795699,Cicadellidae,16,0.290909,0.022222,735,0.907407
17,train,81,Nipaecoccus vastalor,59,17,0.288136,1.000000,0.711864,0.831683,Pseudococcus comstocki Kuwana,10,0.169492,0.020988,752,0.928395
18,train,72,Erythroneura apicalis,42,13,0.309524,0.966667,0.690476,0.805556,Cicadellidae,13,0.309524,0.016049,765,0.944444
19,train,65,parathrene regalis,84,10,0.119048,1.000000,0.880952,0.936709,peach borer,3,0.035714,0.012346,775,0.956790
