label,count,class_name
101,3444,Cicadellidae
67,3186,Lycorma delicatula
70,3048,Miridae
24,2456,aphids
51,1138,blister beetle
22,1018,corn borer
15,989,mole cricket
39,962,beet army worm
50,845,legume blister beetle
58,840,Limacodidae
48,836,Locustoidea
86,782,Prodenia litura
69,767,Cicadella viridis
68,690,Xylotrechus
0,669,rice leaf roller
23,642,army worm
45,639,flax budworm
3,631,asiatic rice borer
8,535,white backed plant hopper
16,532,wireworm
54,527,Thrips
14,516,grub
10,513,rice water weevil
38,513,cabbage army worm
18,512,black cutworm
7,500,brown plant hopper
47,492,tarnished plant bug
92,484,Scirtothrips dorsalis Hood
37,473,flea beetle
66,458,Ampelophaga
76,433,Icerya purchasi Maskell
29,424,bird cherry-oataphid
71,415,Trialeurodes vaporariorum
26,414,peach borer
82,414,Aleurocanthus spiniferus
46,393,alfalfa plant bug
27,392,english grain aphid
49,392,lytta polita
94,346,Lawana imitata Melichar
25,339,Potosiabre vitarsis
99,333,Rhytidodera bowrinii white
9,331,small brown plant hopper
21,317,red spider
44,314,alfalfa weevil
5,303,rice gall midge
93,303,Dasineura sp
4,302,yellow rice borer
19,294,large cutworm
1,292,rice leaf caterpillar
95,292,Salurnis marginella Guerr
30,291,wheat blossom midge
20,287,yellow cutworm
56,281,Pieris canidia
100,274,Sternochetus frigidus
73,269,Papilio xuthus
84,263,Dacus dorsalis(Hendel)
77,251,Unaspis yanonensis
13,245,rice shell pest
11,242,rice leafhopper
88,242,Phyllocnistis citrella Stainton
83,232,Tetradacus c Bactrocera minax
74,231,Panonchus citri McGregor
57,228,Apolygus lucorum
6,221,Rice Stemfly
59,212,Viteus vitifoliae
91,210,Aphis citricola Vander Goot
34,203,wheat sawfly
28,195,green bug
87,186,Adristyrannus
42,184,beet weevil
64,184,Pseudococcus comstocki Kuwana
97,183,Chlumetia transversa
40,179,Beet spot flies
33,175,wheat phloeothrips
62,169,oides decempunctata
41,162,meadow moth
52,156,therioaphis maculata Buckton
2,156,paddy stem maggot
78,154,Ceroplastes rubens
32,147,longlegged spider mite
31,139,penthaleus major
79,135,Chrysomphalus aonidum
90,135,Toxoptera aurantii
96,126,Deporaus marginatus Pascoe
43,114,sericaorient alismots chulsky
89,113,Toxoptera citricidus
55,111,alfalfa seed chalcid
53,106,odontothrips loti
60,105,Colomerus vitis
75,103,Phyllocoptes oleiverus ashmead
12,103,grain spreader thrips
85,100,Bactrocera tsuneonis
17,88,white margined moth
65,84,parathrene regalis
35,82,cerodonta denticornis
36,62,beet fly
81,59,Nipaecoccus vastalor
98,55,Mango flat beak leafhopper
63,50,Polyphagotars onemus latus
61,47,Brevipoalpus lewisi McGregor
80,44,Parlatoria zizyphus Lucus
72,42,Erythroneura apicalis
